Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"6,265",77.1,75.9,78.3,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,01,BO1,CAT1,_RFHLTH,RESP061,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"2,359",22.9,21.8,24.1,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,01,BO1,CAT1,_RFHLTH,RESP062,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"3,754",86.6,85.2,88,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,02,BO1,CAT1,_RFHLTH,RESP061,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,617,13.4,12,14.8,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,02,BO1,CAT1,_RFHLTH,RESP062,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"11,902",81,79.9,82,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,04,BO1,CAT1,_RFHLTH,RESP061,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"2,930",19,18,20.1,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,04,BO1,CAT1,_RFHLTH,RESP062,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"3,758",76.5,74.8,78.3,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,05,BO1,CAT1,_RFHLTH,RESP061,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,480",23.5,21.8,25.2,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,05,BO1,CAT1,_RFHLTH,RESP062,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"7,249",81.9,80.9,82.9,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,06,BO1,CAT1,_RFHLTH,RESP061,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,570",18.1,17.1,19.2,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,06,BO1,CAT1,_RFHLTH,RESP062,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"11,474",86.8,86.1,87.6,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,08,BO1,CAT1,_RFHLTH,RESP061,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,878",13.2,12.4,13.9,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,08,BO1,CAT1,_RFHLTH,RESP062,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"6,807",85.7,84.6,86.8,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,09,BO1,CAT1,_RFHLTH,RESP061,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,128",14.3,13.2,15.4,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,09,BO1,CAT1,_RFHLTH,RESP062,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"3,489",84.4,83,85.9,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,10,BO1,CAT1,_RFHLTH,RESP061,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,796,15.6,14.1,17,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,10,BO1,CAT1,_RFHLTH,RESP062,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"3,444",87.1,85.4,88.8,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,11,BO1,CAT1,_RFHLTH,RESP061,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,623,12.9,11.2,14.6,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,11,BO1,CAT1,_RFHLTH,RESP062,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"7,847",80.7,79.6,81.8,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,12,BO1,CAT1,_RFHLTH,RESP061,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,902",19.3,18.2,20.4,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,12,BO1,CAT1,_RFHLTH,RESP062,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,343",18.8,17.5,20.1,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,13,BO1,CAT1,_RFHLTH,RESP062,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"4,989",81.2,79.9,82.5,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,13,BO1,CAT1,_RFHLTH,RESP061,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"6,079",85.5,84.3,86.6,116,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,15,BO1,CAT1,_RFHLTH,RESP061,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,"1,165",14.6,13.4,15.7,117,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,15,BO1,CAT1,_RFHLTH,RESP062,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,"4,565",86.9,85.6,88.1,115,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,16,BO1,CAT1,_RFHLTH,RESP061,"(43.682630005000476, -114.3637300419997)"
